idx,project,bug_id,BFC,FFC,comment,isBugRelated,isRefactoringRelated,isAddRelated,isTestRelated
12,Codec,6,https://github.com/apache/commons-codec/commit/d74fc31604c805a47c44d7853f63a3b06ad6c016,https://github.com/apache/commons-codec/commit/20a88d9b49beda71ddee69af92872716fd00f13a,- Applied patch for [CODEC-81] production pretty much unchanged. - Applied patch for [CODEC-81] tests and split one new unit test method into two tests. One for URL-safe and another for normal processing. - Renamed StringBytesUtils to StringUtils - Added missing @return tags to StringUtils,1,1,2,4
13,JacksonCore,3,https://github.com/FasterXML/jackson-core/commit/911cca0254267decd90a4b6a9c0610549309a451,https://github.com/FasterXML/jackson-core/commit/feaabd1683a424d5f112f0497be6c2f68492160e,"Working on [Issue-25], removing references to 'json' (create[Json]Parser, create[Json]Generator)",1,1,2,0
14,Codec,14,https://github.com/apache/commons-codec/commit/39d5df29fb768fd257f9d328b99f00bc69ec864a,https://github.com/apache/commons-codec/commit/e3b7364d4d48f71f2583f2215da3bde8d890b359,Better API names (IMO),0,1,0,0
15,Cli,29,https://github.com/apache/commons-cli/commit/20002f7f4e971349a1c95dd3b05846c5b824b65c,https://github.com/apache/commons-cli/commit/a8a8ec06a85a1090d560dc6cf236663da580863e,Lots of minor refactoring and tidying to avoid compiler warnings,0,2,0,0
16,Csv,15,https://github.com/apache/commons-csv/commit/8b3de71fd99d0fa07cb6a3a35b583bbb170aab66,https://github.com/apache/commons-csv/commit/7e471527915cb0c73316c598fd02b71a56f2cf43,[CSV-217] Add autoFlush option for CsvPrinter. Applying modified patch This closes #24.,1,1,1,0
17,Jsoup,44,https://github.com/jhy/jsoup/commit/3a7f39c507ed2b6809dc3a8bcc0a28ad19aab2f3,https://github.com/jhy/jsoup/commit/af77fd3ffb2973f255419df9ef591df5f8a7409f,Support for file uploads in posts,0,0,1,0
18,Closure,54,https://github.com/google/closure-compiler/commit/7e9b8336568ea7f05c33e1b58eb67fa6d4eee756,https://github.com/google/closure-compiler/commit/9a66dcbece400f60c7b2f71bf7b3125331cd4164,Add symbol table references for closure primitives,0,0,1,0
19,Closure,119,https://github.com/google/closure-compiler/commit/046e0b226e963bc584c2a6cd3c2b471777c5cc53,https://github.com/google/closure-compiler/commit/d6f92e5de267c39d29182cfa89b2f01b7710b607,Make sure that properties are not defined on objects before they're defined Fixes issue 312.,2,0,0,0
20,Closure,81,https://github.com/google/closure-compiler/commit/084b868bc2fbf9d6d0319e5a362ade1d7f43f899,https://github.com/google/closure-compiler/commit/d38121222cc7c1d5e8dd2c34dcea4c2dc7468450,Add --accept_const_keyword and --language_in flag so that we can accept 'const' keyword and ECMAScript5 compatible javascript source code.,0,0,1,0
21,Compress,2,https://github.com/apache/commons-compress/commit/d09177b98f4e956c1d366110f73c3341ea110bee,https://github.com/apache/commons-compress/commit/01d395157e5ffbc15b6f7e265885d4b7635791d5,cleanups and nitpicking,0,1,0,0
22,Closure,77,https://github.com/google/closure-compiler/commit/b88400ce0e9c1a0dadfd3417c256b02a82f38fe1,https://github.com/google/closure-compiler/commit/524c758183be741ff1519acfa8a4bf714dd2c4cd,Introduce EcmaScript 5 Strict mode output,0,0,1,0
23,Math,9,https://github.com/Maes95/commons-math/commit/de98c0f0a566060ac143c39036f06a03f141dc52,https://github.com/Maes95/commons-math/commit/2d698e4905cb75bd125e2fe1f5223d7e68f0adcd,"MATH-444 Base package name change: ""o.a.c.math"" -> ""o.a.c.math3""",0,1,0,0
24,Mockito,9,https://github.com/mockito/mockito/commit/31f908029b8cd9b1f32bed3a41651b30ebb47b9f,https://github.com/mockito/mockito/commit/9e725017713095deba16eb4646ec03a103cf66f6,Added documentation and new convenience API in top level Mockito class.,0,0,2,0
25,Gson,15,https://github.com/google/gson/commit/ada597e69a78b8b99f79f79493cbf51e16045202,https://github.com/google/gson/commit/f7abd59a3b349d5c926507705f439afff54ed301,JsonWriter#jsonValue writes raw JSON values.,0,0,0,0
26,Jsoup,79,https://github.com/jhy/jsoup/commit/1028b37a1dfbc5dda7b18cbe692ab168c54fb505,https://github.com/jhy/jsoup/commit/f71712ba5d28df09c9a5b6e3c8a37f05f5e3372d,Project :: Slimfast,0,0,0,0
27,Math,2,https://github.com/Maes95/commons-math/commit/c0b655ace5665c0cd32e3f5e5b46edad4d223125,https://github.com/Maes95/commons-math/commit/c65ed0ce1eb20a8ee2e186a7e4fa0209a2785515,"MATH-829 Removed unnecessary (and uninformative) ""throws Exception"" clauses in method signature.",0,1,0,0
28,Closure,130,https://github.com/google/closure-compiler/commit/9fac3ccd2fa9e6137584f079db1a6f5962a65cf4,https://github.com/google/closure-compiler/commit/4d98fc9034031ee146c7e5534a150e2700d89f8e,Add basic Node type helpers to Node,0,0,1,0
29,Closure,80,https://github.com/google/closure-compiler/commit/58786c3f717fa506280127265cd68fedf17de0a9,https://github.com/google/closure-compiler/commit/711b76ac1015234f86805f1735ff2c3da195f55c,Some non-contraversal changes from 304. Based on a patch by Ilia Kantor,0,1,0,0
30,Math,32,https://github.com/Maes95/commons-math/commit/f81847d8079753ce45b049813730055188a22efb,https://github.com/Maes95/commons-math/commit/2d698e4905cb75bd125e2fe1f5223d7e68f0adcd,"MATH-444 Base package name change: ""o.a.c.math"" -> ""o.a.c.math3""",0,1,0,0
31,Math,41,https://github.com/Maes95/commons-math/commit/882556eabbeb2f62939aee29afdec2a01ce4bbe1,https://github.com/Maes95/commons-math/commit/cad6e4ae20fc7ff4535e42b1f3aa9a462f82c0ba,"MATH-689 Moved array utilities from ""MathUtils"" to ""MathArrays"".",0,1,0,0
32,Cli,25,https://github.com/apache/commons-cli/commit/6a585453d385449dc23d90479488f92f02cd6b83,https://github.com/apache/commons-cli/commit/a8a8ec06a85a1090d560dc6cf236663da580863e,Lots of minor refactoring and tidying to avoid compiler warnings,0,2,0,0
33,Closure,124,https://github.com/google/closure-compiler/commit/e7f4269d0289f4d47217207ec456219db8efe47c,https://github.com/google/closure-compiler/commit/9360326ac90197b8740b23146ffd84f7e1886139,Missed a couple.,1,0,0,0
34,JacksonCore,16,https://github.com/FasterXML/jackson-core/commit/e052c319eccd6086c28fa5371807d887ebe302cf,https://github.com/FasterXML/jackson-core/commit/d9d6f1afcf3c5889090b13ebd6c411a49d1bb0c4,...,0,0,0,0
35,Closure,64,https://github.com/google/closure-compiler/commit/de726510af4329fb8eeb8a54b2d93d8d37c87545,https://github.com/google/closure-compiler/commit/9360326ac90197b8740b23146ffd84f7e1886139,Missed a couple.,1,0,0,0
36,Closure,101,https://github.com/google/closure-compiler/commit/369282db85567f1bf2c9635d0c0043d47f114814,https://github.com/google/closure-compiler/commit/e5d3e5e012871b87d2f2a59985bc6522bb571ee2,switch over to args4j (Nick) Fixes issue 11.,2,0,0,0
37,Closure,107,https://github.com/google/closure-compiler/commit/49e9565febba904484396e2aef7dbe86f55e9cc5,https://github.com/google/closure-compiler/commit/fabe711b0c888bab57dc2dfc79044f1111d56416,Move variable redeclaration check from SyntacticScopeCreator to VarCheck. ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=51577979,0,1,1,0
38,Closure,78,https://github.com/google/closure-compiler/commit/25829b0395164533782d608399096803321225a7,https://github.com/google/closure-compiler/commit/eaaa156632369f88e9667f55c7761cef8367cf57,Create some exhaustive tests for binary ops,0,0,1,1
39,Jsoup,66,https://github.com/jhy/jsoup/commit/c324fabe86c0a59eb635610dc85d8d7a7be25c74,https://github.com/jhy/jsoup/commit/f71712ba5d28df09c9a5b6e3c8a37f05f5e3372d,Project :: Slimfast,0,0,0,0
40,Math,102,https://github.com/Maes95/commons-math/commit/a1bac127067c912b4a9f7a2957c427853a36c730,https://github.com/Maes95/commons-math/commit/5145f82217496e6e32ca70d525f69c33260ffd9c,Eliminated main method.,0,1,0,0
41,Csv,14,https://github.com/apache/commons-csv/commit/190390bf5dd83d6137ca3045902fcecbeafa3227,https://github.com/apache/commons-csv/commit/e2bbfcc6d3290ba69710e936bc88d13f1add76a6,"Add convenience API CSVFormat.print(Path, Charset) (JIRA is down ATM).",0,0,1,0
42,Codec,15,https://github.com/apache/commons-codec/commit/28b7b958d39730fc278fd1919bf335c52133a1a2,https://github.com/apache/commons-codec/commit/c1e0ec2ef4af22f490391871fed4339530717f7d,Refactor tests to use generics.,0,1,0,1
43,Csv,2,https://github.com/apache/commons-csv/commit/a0d975933d6fe9eb5f359088de43508c1d3109bf,https://github.com/apache/commons-csv/commit/8f436552ae8ee5713c1b5c78c58d4387edcccb31,[CSV-96] CSVRecord does not verify that the length of the header mapping matches the number of values.,0,0,0,0
44,JacksonDatabind,60,https://github.com/FasterXML/jackson-databind/commit/be114a9a286c4d194cd268ac8153173c52619a8d,https://github.com/FasterXML/jackson-databind/commit/d252da8748f46408de3d18c2d75952e30e1dea40,Prepare for rc1,0,1,0,0
45,JacksonDatabind,11,https://github.com/FasterXML/jackson-databind/commit/66bfe6658e6c25e03d1bcd5d4d858e1aaf738a01,https://github.com/FasterXML/jackson-databind/commit/e507a88cd98f54cdc1e4774d1f8257956d605d62,prepare for rc1,0,1,0,0
46,Closure,143,https://github.com/google/closure-compiler/commit/7eaa0d8eca2549742649af34671eaf3da83b5c08,https://github.com/google/closure-compiler/commit/e5d3e5e012871b87d2f2a59985bc6522bb571ee2,switch over to args4j (Nick) Fixes issue 11.,2,0,0,0
47,Closure,86,https://github.com/google/closure-compiler/commit/0907b6618a60b2de23c8f7ec2217a37dc5e9a091,https://github.com/google/closure-compiler/commit/1c92a5447451e3d6e663d4bf508237a6eaeccf90,Add whitespace only mode support for ES5 getters and setters.,0,0,2,0
48,Jsoup,7,https://github.com/jhy/jsoup/commit/82855b07f5336d30c70dc20548ab7ab8adeac05e,https://github.com/jhy/jsoup/commit/528b793d86be485f7b4fff51f97e67708eb632da,Added restricted XHTML output entity option,0,0,1,0
49,Math,84,https://github.com/Maes95/commons-math/commit/317793eeff84dc9b260301adbe4aa8f5c79f703a,https://github.com/Maes95/commons-math/commit/53e1621021576b5e0f3d66926fbfcf6d28ee0753,updated ant build.xml according to new maven-compliant standard directory layout,0,1,1,0
50,Closure,149,https://github.com/google/closure-compiler/commit/053636cbd1a8fb97e55b4f82bc4b5bee8beaf47e,https://github.com/google/closure-compiler/commit/0c8a0c53b2124d05b017a63bdbc720a57c89ead2,Change on 2010/07/08 09:27:35 by nicksantos,0,1,0,0
51,JacksonDatabind,7,https://github.com/FasterXML/jackson-databind/commit/bcccd3e82241db25a2f34ed655dab88395089f39,https://github.com/FasterXML/jackson-databind/commit/ae465badef2cf1ebf1c149c9030258bad8bca080,...,0,0,0,0
52,Closure,4,https://github.com/google/closure-compiler/commit/efefb736fccc2039b5fb079710b3f2ac82b8c6e4,https://github.com/google/closure-compiler/commit/e14000ea47087087d79dd4e5b7425439c7e5c12a,Tighten leastSupertype/greatestSubtype relationships for parameterized types in advance of creating a true subtype relationship between the types.,0,0,1,0
53,Math,26,https://github.com/Maes95/commons-math/commit/1566dd339f6efc2347b0962fac7fce22adbc31ff,https://github.com/Maes95/commons-math/commit/2d698e4905cb75bd125e2fe1f5223d7e68f0adcd,"MATH-444 Base package name change: ""o.a.c.math"" -> ""o.a.c.math3""",0,1,0,0
54,Lang,19,https://github.com/apache/commons-lang/commit/0b3a8a3128890f710700d04e38df48b883d11d91,https://github.com/apache/commons-lang/commit/16ba0ea9cfe6a88eb127dfa92c948ef35068d5b5,Restored Ant build.,0,1,0,0
55,JacksonDatabind,100,https://github.com/FasterXML/jackson-databind/commit/d98ae778876cddd5ed3eacab9e5daf55186ff483,https://github.com/FasterXML/jackson-databind/commit/06b877968de36678e998ca35910de78eec74efe1,Prepare for 2.9.0 release,0,1,0,0
56,JacksonDatabind,61,https://github.com/FasterXML/jackson-databind/commit/82c346ae999e1e250fb52732419aff9a86b1f455,https://github.com/FasterXML/jackson-databind/commit/ae465badef2cf1ebf1c149c9030258bad8bca080,...,0,0,0,0
57,JacksonDatabind,109,https://github.com/FasterXML/jackson-databind/commit/e287a62cd32832d5a9611d5b8f3bc06ec1310dc0,https://github.com/FasterXML/jackson-databind/commit/9aad873bd28e2e93fa79696a04ba674070610cf7,Start work merging #2241,0,0,0,0
58,JacksonDatabind,29,https://github.com/FasterXML/jackson-databind/commit/30b5469753686548ca7a590dd1bc5114181e68a9,https://github.com/FasterXML/jackson-databind/commit/9e73a1f1b4df1c6925f6bf959b336bce4e46ee55,prepare for rc1,0,1,0,0
59,Closure,96,https://github.com/google/closure-compiler/commit/807aaf2569e9eb09761068c5aeb95654daea30d9,https://github.com/google/closure-compiler/commit/c25df7eca2462861bf42ad8b74215099c3f81ae6,"Make lists the canonical representation of compiler sources. They're so much easier to sort and mutate, which is going to make a difference once we start sorting sources. (Nick) R=robert DELTA=97  (58 added, 6 deleted, 33 changed)",0,2,1,0
60,Closure,72,https://github.com/google/closure-compiler/commit/e323b879de2e53e5eedf6e7afb0d582382c6248d,https://github.com/google/closure-compiler/commit/170b23fa89cdcc38411fc29ec4453935e0903b16,Change on 2010/05/24 by johnlenz,0,1,0,0
61,Lang,45,https://github.com/apache/commons-lang/commit/d95fcd8e24568b4f9d3cb9da922a4029e293c793,https://github.com/apache/commons-lang/commit/8688d11849b9335f63210dd9018545b3c3a907d8,Applying the truncateNicely patch from LANG-338 as abbreviate. I've added it to WordUtils rather than StringUtils; it feels like a better fit there to me,0,1,1,0
62,Closure,95,https://github.com/google/closure-compiler/commit/f6607996d6d3bd6820ce3848d147991b27600a12,https://github.com/google/closure-compiler/commit/c25df7eca2462861bf42ad8b74215099c3f81ae6,"Make lists the canonical representation of compiler sources. They're so much easier to sort and mutate, which is going to make a difference once we start sorting sources. (Nick) R=robert DELTA=97  (58 added, 6 deleted, 33 changed)",0,2,1,0
63,Jsoup,29,https://github.com/jhy/jsoup/commit/05ae97865c84536a6cfe7759ca6c382eb761ecb2,https://github.com/jhy/jsoup/commit/5ca6b4041d0605025f1a1582a605d2aee377bc1c,"Implemented Node.clone() to create deep, independent copies of Nodes, Elements, and Documents.",0,0,2,0
64,Gson,17,https://github.com/google/gson/commit/7a9fd5962dce7f277efa15fcc996606be0733bac,https://github.com/google/gson/commit/b8f616c939c652b8540c95fa2b377b8c628ef3ff,Migrate DefaultDateTypeAdapter to streaming adapter (#1070),0,0,1,0
65,JacksonDatabind,99,https://github.com/FasterXML/jackson-databind/commit/bc91126c55dc513735a2a95ace4c00a6021c76f4,https://github.com/FasterXML/jackson-databind/commit/8ee51ad3a84987359401719198d7c0bff597b1a3,Prepare for 2.7.0-rc1,0,1,0,0
66,Lang,48,https://github.com/apache/commons-lang/commit/eb8f74efb75e71fc91e515a38becc2aac203e339,https://github.com/apache/commons-lang/commit/b906ddafbe24402f28da695d4c0e4493ebb6033a,"Adding new excludeFields functionality for EqualsBuilder and HashCodeBuilder, as submitted by Pete Gieser, Bugzilla: #39315",0,0,2,0
67,Closure,40,https://github.com/google/closure-compiler/commit/6ebc0c3d7d4da7d2cf95f53d4ea790e89d3abc7a,https://github.com/google/closure-compiler/commit/effb8b88642e8a81c2a7ba7bae0578530099be86,Add setters for all public properties in CompilerOptions,0,0,1,0
68,Closure,9,https://github.com/google/closure-compiler/commit/e9c15465c000c19ef4e0b8f68a680589ae4111d7,https://github.com/google/closure-compiler/commit/32f4884ca5aa648d48d988d8d7dada88212d6dbe,Normalize the file name prefix if it doesn't end with / Makes some things public fixes issue 651 fixes issue 652,4,0,0,0
69,JacksonDatabind,23,https://github.com/FasterXML/jackson-databind/commit/6172d7561007a941b01f960dd44d94a92f3ad763,https://github.com/FasterXML/jackson-databind/commit/ae465badef2cf1ebf1c149c9030258bad8bca080,...,0,0,0,0
70,JacksonXml,2,https://github.com/FasterXML/jackson-dataformat-xml/commit/37eb331acce08142ad027f127c355f9b462fe9e0,https://github.com/FasterXML/jackson-dataformat-xml/commit/ebf25d728a30b26294d5b70fab3f7a9373afc048,prepare for rc1,0,1,0,0
71,JacksonDatabind,82,https://github.com/FasterXML/jackson-databind/commit/4a2b1ae08ded66b77e05bf8fa0ac8a2e8c60709d,https://github.com/FasterXML/jackson-databind/commit/6cfc4457bb8a94694d92c20064a782e7af20705b,...,0,0,0,0
72,Jsoup,81,https://github.com/jhy/jsoup/commit/e38dfd44829e13ee83fd62bfe937580f5a998c11,https://github.com/jhy/jsoup/commit/654bc6f981587bd4b39b66702550bad33e1eacc9,Stream network loading (#905),0,0,0,0
73,Closure,34,https://github.com/google/closure-compiler/commit/87b154f89cba3c67045cd7a783b79231d0630a4c,https://github.com/google/closure-compiler/commit/04ba01ff0c7a9a9c64205303a9dcca346da501a5,Add support for prefer line break at end of file. This allows us to insert code between files without affecting the source maps or deobfuscation.,0,1,2,0
74,Cli,11,https://github.com/apache/commons-cli/commit/d36adebd3547279b709960c902c3fb7b89a9a4ef,https://github.com/apache/commons-cli/commit/df8f8e160c5fc9b955c627c4b65c7ba67088b7ac,Making the OptionComparator modifiable so people can change the order in which arguments are printed by the HelpFormatter - as requested in CLI-155,0,2,0,0
75,Closure,59,https://github.com/google/closure-compiler/commit/49b4ef31c850611a5c85d95140b4cedda7f4c59a,https://github.com/google/closure-compiler/commit/ab9dfefc6f8799aa4e8f69d4e4e52d055152b25a,Create -output_bundle flag for JSCompiler to generate bundle files,0,0,1,0
76,Closure,35,https://github.com/google/closure-compiler/commit/22784dc96c391b01692ce686eb93b9aa0ef74ede,https://github.com/google/closure-compiler/commit/8b7e4f656bd5c067543681a721d9f69324ea7a10,"Refactor CodingConvention to use a decorate-based api rather than a subclass-based api. Discourage people from subclassing DefaultCodingConvention by deleting it, and writing documentation that they should be subclassing CodingConventions.Proxy.",0,2,0,0
77,Math,11,https://github.com/Maes95/commons-math/commit/aa2bd1d0656b0001192aa2b2ef779cfd1f3b7e4d,https://github.com/Maes95/commons-math/commit/05366a5efbe8713df2b887d3c6918c45c07c71b5,"MATH-815 Added method that was missing in the original commit: ""getDimensions()"", renamed to ""getDimension()"".",1,1,1,0
78,Lang,37,https://github.com/apache/commons-lang/commit/ea140fb5c327e2b58f6c5bf1057c7dede909a50c,https://github.com/apache/commons-lang/commit/ebee3bf4348b95eac301489818239cc4596e58bd,Renaming class package names and unit test data to use org.apache.commons.lang3. LANG-563,0,1,0,2
79,Math,92,https://github.com/Maes95/commons-math/commit/85a8ab2dcfc26e83be1514acdb11d3feaac3e73d,https://github.com/Maes95/commons-math/commit/d3b7d9adc2b787c864e649edb1d5ed6020dd1cff,Added a scalb method in MathUtils. This method is similar to the method with same name added in java.lang.Math as of Java 6.,0,0,2,0
80,Cli,28,https://github.com/apache/commons-cli/commit/3433f467554985a6bd9bf530a4810376be6fe250,https://github.com/apache/commons-cli/commit/a8a8ec06a85a1090d560dc6cf236663da580863e,Lots of minor refactoring and tidying to avoid compiler warnings,0,2,0,0
81,Closure,132,https://github.com/google/closure-compiler/commit/5b9485903b5e7d926f49dc91b915a256df92591c,https://github.com/google/closure-compiler/commit/273b440b08d17ca2b3afe779aef461aa47e01ce1,Make it easier to write unit tests that verify that the a peephole optimization does not require multiple passes (some do).,0,1,0,3
82,Closure,158,https://github.com/google/closure-compiler/commit/fcccf543e85a214f0948d1ac5cab3fa05363e845,https://github.com/google/closure-compiler/commit/9360326ac90197b8740b23146ffd84f7e1886139,Missed a couple.,1,0,0,0
83,Jsoup,11,https://github.com/jhy/jsoup/commit/f462438f2ebfb354c823cd2c0b677b0674f0e80c,https://github.com/jhy/jsoup/commit/48a63ff1edb2b35098ca14ff9e03733dd9fab0a6,Elements,0,0,0,0
84,Gson,3,https://github.com/google/gson/commit/64107353a37e623ed1f8fecb4422c24212cf6fe1,https://github.com/google/gson/commit/c8bd121db2b382cc0e15d317b19178e6db373d9b,Renamed $Preconditions to $Gson$Preconditions and $Types to $Gson$Types. Marked the two private classes in $Types as final.,0,1,0,0
85,Closure,97,https://github.com/google/closure-compiler/commit/ee749e286b477f8d6f53ff5960a38453baf50f31,https://github.com/google/closure-compiler/commit/c9e89727dc8063d087d28e42629606f4fd74a6e5,Change on 2010/06/22 by nicksantos,0,1,0,0
86,Jsoup,47,https://github.com/jhy/jsoup/commit/a025d87deb9cc4cda49ae1b77feb0f29805dd7c5,https://github.com/jhy/jsoup/commit/f317c04acf821d61601f5d986252db40505153bc,Force strict entity matching (must be &xxx; and not &xxx) in element attributes.,0,0,0,0
87,Lang,49,https://github.com/apache/commons-lang/commit/0ac772a4e3b07287c435fdc3c812f67277c85cc8,https://github.com/apache/commons-lang/commit/40da7fe508aa1d3fe08d96e502c896d6d8a7fd48,dist-build goal added to build tar.gz's and .zips. Additionally it handles moving the txt files in the .zip to a Window's format.,0,2,1,0
88,Closure,176,https://github.com/google/closure-compiler/commit/aeed47f424d93d9ff82e0782fca53259829362b1,https://github.com/google/closure-compiler/commit/17e49a2e3a1fce7359730f8cbd17707737827d4e,Add an option to the Closure Compiler to preserve goog requires instead of always stripping them in the ProcessClosurePrimitives compiler pass. ------------- Created by MOE: http://code.google.com/p/moe-java MOE_MIGRATED_REVID=56533547,0,0,2,1
89,Csv,5,https://github.com/apache/commons-csv/commit/73cc5246cf789db8f459e2f539831b6e91bedd26,https://github.com/apache/commons-csv/commit/97d34575a1074197b8a1b5832d3b2cd3e7656d8f,Revert back to NOT skipping a record when withHeader is called with a non-empty array. Add skipHeaderRecord setting to CSVFormat and use when headers are initialized.,0,1,1,0
90,Math,99,https://github.com/Maes95/commons-math/commit/58b5609fe8f99aabc990d885bf6c4d85631b7c79,https://github.com/Maes95/commons-math/commit/924b6d76a2d44baf858c3aee46ab1439c9641959,Added a MathUtils method to check equality given some error bounds JIRA: MATH-247,1,0,1,0
91,Jsoup,83,https://github.com/jhy/jsoup/commit/bdf1df7eb3ca76cdcdaca38f7df5d941bbb1c664,https://github.com/jhy/jsoup/commit/c07c0eead5ec708303b7bfb54c28df2e7cad19e9,Preserve CDATA sections,0,0,0,0
92,Closure,74,https://github.com/google/closure-compiler/commit/03fee32a06ccf8257b2da67b9034270be38805ae,https://github.com/google/closure-compiler/commit/9360326ac90197b8740b23146ffd84f7e1886139,Missed a couple.,1,0,0,0
93,Csv,13,https://github.com/apache/commons-csv/commit/f8b80e83417c3c7eeed1282118f64fa0e85c4787,https://github.com/apache/commons-csv/commit/4471e9d66a6fe249efb758ac7f2140ed5cd349e4,[CSV-139] CSVPrinter.printRecord(ResultSet) with metadata.,0,0,0,0
94,Mockito,11,https://github.com/mockito/mockito/commit/1802cf79c482f2df29abb3d6735bcf0b16cedb7d,https://github.com/mockito/mockito/commit/624f2627be1501169bbb0c0d4423b4f6cd8a4baf,Refactoring. Introduced Wes' changes back. There has to be a distinction between SerializableMethod and DelegatingMethod,0,2,1,0
95,Jsoup,53,https://github.com/jhy/jsoup/commit/a229d7354da5210a728ce5d43158d5cd780772db,https://github.com/jhy/jsoup/commit/48a63ff1edb2b35098ca14ff9e03733dd9fab0a6,Elements,0,0,0,0
96,JacksonDatabind,81,https://github.com/FasterXML/jackson-databind/commit/029413a6e381bb04b7b0a420730d3119e9cc0961,https://github.com/FasterXML/jackson-databind/commit/ae465badef2cf1ebf1c149c9030258bad8bca080,...,0,0,0,0
97,Math,80,https://github.com/Maes95/commons-math/commit/3ced4f2a4e2546f0d7c309bd8f6305edee0dee8f,https://github.com/Maes95/commons-math/commit/53e1621021576b5e0f3d66926fbfcf6d28ee0753,updated ant build.xml according to new maven-compliant standard directory layout,0,1,1,0
98,Csv,10,https://github.com/apache/commons-csv/commit/1282503fb97d621b4225bd031757adbfada66181,https://github.com/apache/commons-csv/commit/65f110ec14b9e7f202bb1a696c4c58560cfca48c,"<action issue=""CSV-119"" type=""add"" dev=""ggregory"" due-to=""Sergei Lebedev"">CSVFormat is missing a print(...) method</action>",2,0,1,0
99,Closure,154,https://github.com/google/closure-compiler/commit/09ed556367fbe81b3003881dfacad643939664c0,https://github.com/google/closure-compiler/commit/c25df7eca2462861bf42ad8b74215099c3f81ae6,"Make lists the canonical representation of compiler sources. They're so much easier to sort and mutate, which is going to make a difference once we start sorting sources. (Nick) R=robert DELTA=97  (58 added, 6 deleted, 33 changed)",0,2,1,0
100,Jsoup,27,https://github.com/jhy/jsoup/commit/8963e2ac79a97e694c388622e935a0471267e9eb,https://github.com/jhy/jsoup/commit/433d2f180058b8b73e1951c6cfbb986714e68b0f,Allow an alternate parser to be supplied for core use cases.,0,1,0,0
